"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","Q3A1"
"VT","【Q3】 TOMA"
"HT","KPI"
"BT","b1.Base-Total Respondents"
"CH",,"Rolling wave",,,,,"National",,,,,
"CL",,"Aug+Sep (a)","Sep+Nov (b)","Nov+Dec (c)","Dec+Jan (d)","Jan+March (e)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RW","Innisfree",0.0,147.0,267.0,224.0,219.0,0.0,0.0,147.0,120.0,104.0,115.0
"PV",,0.0,9.8,8.9,7.46666666666667,7.3,0.0,0.0,9.8,8.0,6.93333333333333,7.66666666666667
"MK",," ",de,de," "," "," "," ",def," "," "," "
"RW","Inoherb",0.0,329.0,633.0,668.0,693.0,0.0,0.0,329.0,304.0,364.0,329.0
"PV",,0.0,21.9333333333333,21.1,22.2666666666667,23.1,0.0,0.0,21.9333333333333,20.2666666666667,24.2666666666667,21.9333333333333
"MK",," "," "," "," ",c," "," "," "," ",d," "
"RW","Kans",0.0,323.0,654.0,612.0,619.0,0.0,0.0,323.0,331.0,281.0,338.0
"PV",,0.0,21.5333333333333,21.8,20.4,20.6333333333333,0.0,0.0,21.5333333333333,22.0666666666667,18.7333333333333,22.5333333333333
"MK",," "," "," "," "," "," "," ",e,e," ",e
"RW","Lancome",0.0,171.0,309.0,276.0,284.0,0.0,0.0,171.0,138.0,138.0,146.0
"PV",,0.0,11.4,10.3,9.2,9.46666666666667,0.0,0.0,11.4,9.2,9.2,9.73333333333333
"MK",," ",de," "," "," "," "," ",de," "," "," "
"RW","SK-ll",0.0,81.0,150.0,145.0,144.0,0.0,0.0,81.0,69.0,76.0,68.0
"PV",,0.0,5.4,5.0,4.83333333333333,4.8,0.0,0.0,5.4,4.6,5.06666666666667,4.53333333333333
"MK",," "," "," "," "," "," "," "," "," "," "," "
"RW","Vichy",0.0,45.0,83.0,61.0,51.0,0.0,0.0,45.0,38.0,23.0,28.0
"PV",,0.0,3.0,2.76666666666667,2.03333333333333,1.7,0.0,0.0,3.0,2.53333333333333,1.53333333333333,1.86666666666667
"MK",," ",de,de," "," "," "," ",ef,e," "," "
"RW","Summary",0.0,3504.0,6814.0,6742.0,6818.0,0.0,0.0,3504.0,3310.0,3432.0,3386.0
"PV",,0.0,233.6,227.133333333333,224.733333333333,227.266666666667,0.0,0.0,233.6,220.666666666667,228.8,225.733333333333
"MK",," "," "," "," "," "," "," "," "," "," "," "
"TE"
"TB","TQ9013N5"
"VT","【Equity Attributes - Olay】"
"HT","M2"
"BT","Base-M2-Know about Olay"
"CH",,"National",,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","March (e)"
"RT","总体",835.0,1138.0,1116.0,1098.0,1165.0
"PV",,100.0,100.0,100.0,100.0,100.0
"RW","This brand gives me radiant, glowing skin",166.0,242.0,233.0,252.120822622107,261.050647447998
"PV",,19.8802395209581,21.2653778558875,20.8781362007168,22.961823553926,22.4077808968239
"MK",," "," "," "," "," "
"RW","Effectively reduces the multiple signs of aging",200.0,296.0,298.0,329.54498714653,317.494030679997
"PV",,23.9520958083832,26.0105448154657,26.7025089605735,30.0132046581539,27.2527064961371
"MK",," "," "," ",abc,a
"RW","Effectively whitens facial skin",202.0,283.0,284.0,316.326478149101,334.250660076997
"PV",,24.1916167664671,24.8681898066784,25.4480286738351,28.8093331647633,28.6910437834332
"MK",," "," "," ",abc,abc
"RW","This brand leaves skin softer, smoother",170.0,243.0,231.0,257.120822622107,266.342214625998
"PV",,20.3592814371257,21.3532513181019,20.6989247311828,23.417196960119,22.8619926717595
"MK",," "," "," "," "," "
"RW","This brand is worth paying more for",125.0,169.0,174.0,181.398457583547,192.260274133999
"PV",,14.9700598802395,14.8506151142355,15.5913978494624,16.5208067015981,16.5030278226609
"MK",," "," "," "," "," "
"RW","Is upscale",125.0,176.0,157.0,197.915167095115,198.433769174999
"PV",,14.9700598802395,15.4657293497364,14.0681003584229,18.0250607554749,17.0329415600858
"MK",," "," "," ",ac,c
"RW","Dramatically transform my skin",151.0,225.0,204.0,232.994858611825,224.009677201999
"PV",,18.0838323353293,19.7715289982425,18.2795698924731,21.2199324783083,19.2282984722746
"MK",," "," "," ",ac," "
"RW","Motivates me to keep striving to be my best",139.0,199.0,184.0,221.822622107969,222.245821475999
"PV",,16.6467065868263,17.4868189806678,16.4874551971326,20.2024245999971,19.076894547296
"MK",," "," "," ",ac," "
"RW","The first one to introduce the latest products and ingredients",142.0,194.0,187.0,221.650385604113,229.301244379999
"PV",,17.0059880239521,17.0474516695958,16.7562724014337,20.1867382153108,19.6825102472102
"MK",," "," "," ",abc,c
"RW","Helps me look younger for my age",145.0,223.0,239.0,257.730077120822,283.980771885998
"PV",,17.3652694610778,19.5957820738137,21.415770609319,23.4726846193827,24.3760319215449
"MK",," "," ",a,ab,abc
"RW","Has packages that delight me",126.0,198.0,179.0,214.431876606683,224.009677201999
"PV",,15.0898203592814,17.3989455184534,16.0394265232975,19.5293148093519,19.2282984722746
"MK",," "," "," ",ac,ac
"RW","Has products you can feel working the moment you use them",152.0,217.0,187.0,242.167095115681,241.648234461999
"PV",,18.2035928143713,19.0685413005272,16.7562724014337,22.0552909941421,20.74233772206
"MK",," "," "," ",abc,c
"RW","Is more effective than other brands",137.0,197.0,186.0,213.74293059126,247.821729502998
"PV",,16.4071856287425,17.311072056239,16.6666666666667,19.4665692706066,21.2722514594848
"MK",," "," "," ",ac,abc
"TE"
"TB","TQ9012M5"
"VT","【Equity Attributes - Loreal】"
"HT","M2"
"BT","Base-M2-Know about Loreal"
"CH",,"National",,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","March (e)"
"RT","总体",889.0,1213.0,1188.0,1138.0,1212.0
"PV",,100.0,100.0,100.0,100.0,100.0
"RW","This brand gives me radiant, glowing skin",176.0,209.0,216.0,219.744680851065,246.345806322999
"PV",,19.7975253093363,17.2300082440231,18.1818181818182,19.3097259095839,20.3255615778052
"MK",," "," "," "," ",b
"RW","Effectively reduces the multiple signs of aging",176.0,220.0,231.0,248.728132387706,258.532524656999
"PV",,19.7975253093363,18.1368507831822,19.4444444444444,21.8566021430322,21.3310663908415
"MK",," "," "," ",b,b
"RW","Effectively whitens facial skin",203.0,222.0,199.0,211.744680851064,235.029567869999
"PV",,22.8346456692913,18.3017312448475,16.7508417508418,18.6067382118686,19.3918785371286
"MK",,bcde," "," "," ",c
"RW","This brand leaves skin softer, smoother",178.0,186.0,190.0,201.572104018913,236.770527631999
"PV",,20.0224971878515,15.3338829348722,15.993265993266,17.7128386659854,19.5355220818481
"MK",,bc," "," "," ",bc
"RW","This brand is worth paying more for",168.0,232.0,219.0,221.210401891253,254.180125251999
"PV",,18.8976377952756,19.126133553174,18.4343434343434,19.4385238920258,20.9719575290428
"MK",," "," "," "," "," "
"RW","Is upscale",258.0,307.0,277.0,281.07328605201,332.523314541998
"PV",,29.0213723284589,25.3091508656224,23.3164983164983,24.6988827813717,27.435917041419
"MK",,bcd," "," "," ",c
"RW","Dramatically transform my skin",179.0,203.0,208.0,214.089834515366,235.029567869999
"PV",,20.1349831271091,16.7353668590272,17.5084175084175,18.8128149837756,19.3918785371286
"MK",,b," "," "," ",b
"RW","Motivates me to keep striving to be my best",174.0,215.0,206.0,210.796690307329,248.086766084999
"PV",,19.5725534308211,17.724649629019,17.3400673400673,18.523435000644,20.4692051225247
"MK",," "," "," "," ",bc
